IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:57:c9c:7bfd:792a:cb21:3da3,172,196,183,20
2606:4700:c:5ec8:98c0:eb14:5b8f:38df,209,258,216,20
2a06:98c1:58:3778:e795:f946:1a85:39d9,200,261,218,20
2606:4700:4:a9e9:5c7d:9a98:d532:834e,204,279,229,20
2606:4700:50:cd1f:360:c90f:f15b:edc2,194,297,233,20
2a06:98c1:53:b856:50e3:fbf8:589b:fbe4,199,299,242,20
2a06:98c1:3120:439d:6919:6845:816f:a12b,169,199,186,30
2606:4700:4409:1fdc:42a9:4247:e3d8:3b7d,189,239,204,30
2606:4700:3108:e53d:be81:11a6:ea2a:ef83,189,245,206,30
2606:4700:8:b25f:38df:e6f7:d0a2:97d2,197,230,208,30
2606:4700:4402:35cb:ec90:145a:b7a6:d130,190,220,209,30
2606:4700:3001:b33d:e00e:52b1:a80f:b4d,198,268,213,30
2400:cb00:2049:16de:8d38:c583:2fba:dc70,204,261,215,30
2a06:98c1:3100:a2e0:8d51:d65e:b399:2f61,190,286,219,30
2606:4700:440c:e3bc:25a5:2827:f09a:6865,197,252,219,30
2a06:98c1:3108:88a6:3ce4:959a:226b:2593,197,265,220,30
2606:4700:300a:ed0e:1551:4d4b:b8d6:6001,196,274,221,30
2606:4700:101:b8cc:6c6:2848:b9cc:942a,199,271,221,30
2606:4700:3009:f5f8:5ae1:a495:12ac:99fb,192,282,222,30
2606:4700:51:2ebd:84a9:a7a9:5ad4:c0dc,218,230,222,30
2606:4700:440d:143c:b25c:eff2:53dd:fcad,200,275,224,30
2a06:98c1:3106:d15f:2b69:3f1a:2537:5372,196,280,226,30
2606:4700:13d:1b55:9aac:2fbc:34b:ddfa,207,282,235,30
2606:4700:136:3638:9d47:c58b:ded0:f27b,204,276,240,30
2606:4700:5a:481f:b51b:9b5:895c:a92b,215,280,243,30
2a06:98c1:3121:f5e0:da9d:ceed:30d8:c0bd,172,205,192,40
2606:4700:4406:4017:5752:54de:1be8:c5b4,200,224,212,40
2606:4700:3008:134:8030:df28:d4bc:57dc,204,220,213,40
2606:4700:13c:ba2e:a353:8661:3f20:ab24,203,251,216,40
2606:4700:1:fda3:18a:58ae:c927:1053,199,239,216,40
