IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.67.71.208,120,164,148,0
172.67.77.210,123,205,149,0
104.26.4.219,121,173,150,0
104.18.249.143,149,226,190,0
198.41.219.127,171,258,192,0
104.18.148.100,163,244,194,0
104.18.139.233,166,227,194,0
104.19.216.135,166,238,194,0
104.16.227.108,171,244,196,0
104.19.184.59,158,235,197,0
104.17.15.167,180,218,197,0
104.17.237.20,173,222,197,0
104.16.62.80,171,264,198,0
104.21.230.245,154,234,199,0
104.17.112.30,156,257,199,0
104.17.227.162,170,278,200,0
104.17.189.40,158,257,200,0
104.16.157.159,175,219,201,0
104.17.170.172,161,238,201,0
104.18.204.157,165,232,201,0
104.18.152.243,171,225,201,0
104.21.239.249,171,238,201,0
104.17.246.20,170,269,201,0
104.16.26.56,176,237,202,0
104.16.23.61,184,221,203,0
162.159.35.35,180,238,204,0
104.18.175.22,166,260,204,0
104.16.132.124,175,266,204,0
104.17.208.165,171,226,204,0
104.16.170.245,173,219,205,0
104.17.151.106,173,233,205,0
104.19.183.248,162,245,205,0
104.16.177.245,176,246,205,0
104.21.237.72,175,231,205,0
104.16.61.26,182,233,205,0
104.17.48.106,184,278,207,0
104.16.32.80,185,254,207,0
104.16.147.72,169,289,207,0
104.19.165.107,182,237,207,0
104.18.99.126,175,242,207,0
104.18.236.252,171,269,208,0
104.16.48.164,175,236,208,0
104.17.17.231,176,241,208,0
104.16.194.165,167,249,208,0
104.18.74.111,177,248,208,0
104.16.53.57,186,250,208,0
104.16.128.121,170,238,208,0
104.18.97.36,189,236,208,0
104.17.220.192,161,268,209,0
104.17.241.67,174,243,209,0
104.16.127.249,185,231,209,0
104.19.172.187,182,228,209,0
104.18.167.4,169,243,209,0
104.18.208.155,176,269,209,0
104.17.141.233,178,246,209,0
104.16.0.221,178,256,209,0
104.18.209.71,170,258,209,0
104.16.60.14,170,267,209,0
104.16.103.1,172,256,209,0
104.16.218.143,166,240,210,0
104.16.181.40,179,233,210,0
104.16.188.46,189,231,210,0
104.18.112.127,188,242,210,0
104.17.213.247,185,269,211,0
190.93.246.6,176,270,211,0
104.16.159.121,175,249,211,0
104.19.188.57,165,266,211,0
104.18.193.163,188,238,211,0
104.18.140.102,181,251,211,0
162.159.34.40,192,238,211,0
104.18.181.92,172,286,212,0
104.19.186.187,184,269,212,0
104.18.244.31,170,294,212,0
104.19.191.113,189,234,212,0
104.16.35.72,185,274,213,0
104.16.165.9,161,287,213,0
104.16.89.5,199,237,213,0
104.21.238.157,173,234,213,0
104.18.138.141,180,249,213,0
104.18.252.118,179,261,213,0
104.16.209.36,179,287,213,0
104.17.255.106,173,280,213,0
104.17.169.98,175,261,213,0
104.18.153.227,178,265,214,0
104.18.48.76,187,264,214,0
104.16.200.153,177,277,215,0
104.16.216.106,199,245,215,0
104.18.127.165,172,281,215,0
104.17.184.191,168,256,215,0
104.19.174.220,174,283,215,0
104.18.219.44,196,236,215,0
104.18.49.153,183,256,215,0
104.16.229.24,193,244,215,0
104.17.53.198,162,256,215,0
104.18.95.123,183,281,215,0
104.17.8.121,164,256,215,0
104.17.96.133,183,250,215,0
104.18.194.46,188,276,215,0
104.18.50.254,194,255,216,0
162.159.43.198,199,250,216,0
104.17.132.226,157,269,216,0
104.16.97.141,163,249,216,0
104.18.132.29,183,259,216,0
104.17.128.93,183,280,217,0
104.16.30.5,199,232,217,0
104.16.237.105,192,293,217,0
104.16.244.219,164,255,217,0
104.17.230.170,204,247,217,0
104.19.253.9,178,262,218,0
104.19.168.199,180,280,218,0
104.24.45.215,178,247,218,0
172.67.82.143,184,254,218,0
104.17.94.108,185,247,218,0
104.24.146.29,180,247,218,0
104.16.184.106,190,269,218,0
104.18.178.231,176,254,218,0
104.21.234.159,175,251,218,0
104.16.195.154,172,256,218,0
104.17.77.245,177,280,218,0
104.16.168.6,184,253,218,0
104.17.217.64,187,251,218,0
104.27.207.23,187,254,218,0
104.17.212.98,172,280,218,0
162.159.9.170,187,253,218,0
104.17.240.32,173,273,218,0
104.18.171.127,164,270,219,0
104.17.160.68,203,261,219,0
104.16.28.86,197,256,219,0
104.17.131.43,182,238,219,0
104.24.82.72,192,245,219,0
104.21.217.64,187,246,219,0
104.18.182.250,177,259,219,0
104.19.176.127,196,243,219,0
172.64.81.181,186,249,219,0
162.159.130.122,181,252,219,0
104.16.182.48,192,248,220,0
104.21.4.9,183,250,220,0
104.16.24.37,200,254,220,0
104.18.223.54,204,258,220,0
104.19.153.207,199,245,220,0
104.24.179.249,188,269,220,0
104.17.222.37,171,258,220,0
104.17.85.73,201,238,220,0
104.19.230.201,188,271,220,0
104.16.95.165,198,247,220,0
104.24.14.203,186,256,220,0
104.17.111.253,182,259,220,0
172.67.92.243,181,248,220,0
104.22.73.57,191,254,220,0
104.24.92.213,180,246,220,0
